lad19cd,lad19nm,sub_region_1,date,ukhol,ff_type,ff_value,ff_median_subrgn1,ff_median_uk
E07000131,Harborough,East Midlands,2020-12-28,Boxing Day,Retail and Recreation,-55,-43,-52
E07000131,Harborough,East Midlands,2020-12-28,Boxing Day,Grocery and Pharmacy,-25,-20,-23
E07000131,Harborough,East Midlands,2020-12-28,Boxing Day,Parks,,24,22
E07000131,Harborough,East Midlands,2020-12-28,Boxing Day,Transit Stations,-65,-63,-67
E07000131,Harborough,East Midlands,2020-12-28,Boxing Day,Residential,27,25,26
E07000131,Harborough,East Midlands,2020-12-28,Boxing Day,Workplaces,-81,-78,-78
E07000131,Harborough,East Midlands,2020-12-25,Christmas,Retail and Recreation,-91,-93,-93
E07000131,Harborough,East Midlands,2020-12-25,Christmas,Grocery and Pharmacy,-93,-92,-91
E07000131,Harborough,East Midlands,2020-12-25,Christmas,Parks,-14,-24,-22
E07000131,Harborough,East Midlands,2020-12-25,Christmas,Transit Stations,-70,-72,-81
E07000131,Harborough,East Midlands,2020-12-25,Christmas,Residential,27,26,25
E07000131,Harborough,East Midlands,2020-12-25,Christmas,Workplaces,-87,-86,-85
E07000131,Harborough,East Midlands,2020-04-13,Easter Monday,Retail and Recreation,-81,-80,-79
E07000131,Harborough,East Midlands,2020-04-13,Easter Monday,Grocery and Pharmacy,-40,-42,-42
E07000131,Harborough,East Midlands,2020-04-13,Easter Monday,Parks,-36,-26,-22
E07000131,Harborough,East Midlands,2020-04-13,Easter Monday,Transit Stations,-65,-69,-74
E07000131,Harborough,East Midlands,2020-04-13,Easter Monday,Residential,,30,31
E07000131,Harborough,East Midlands,2020-04-13,Easter Monday,Workplaces,-86,-84,-83
E07000131,Harborough,East Midlands,2020-04-10,Good Friday,Retail and Recreation,-80,-77,-78
E07000131,Harborough,East Midlands,2020-04-10,Good Friday,Grocery and Pharmacy,-32,-32,-35
E07000131,Harborough,East Midlands,2020-04-10,Good Friday,Parks,-35,-13,-14
E07000131,Harborough,East Midlands,2020-04-10,Good Friday,Transit Stations,-60,-62,-69
E07000131,Harborough,East Midlands,2020-04-10,Good Friday,Residential,,30,31
E07000131,Harborough,East Midlands,2020-04-10,Good Friday,Workplaces,-81,-80,-80
E07000131,Harborough,East Midlands,2020-05-04,May Day (Early May Bank Holiday),Retail and Recreation,-68,-66,-67
E07000131,Harborough,East Midlands,2020-05-04,May Day (Early May Bank Holiday),Grocery and Pharmacy,-19,-24,-26
E07000131,Harborough,East Midlands,2020-05-04,May Day (Early May Bank Holiday),Parks,,8,8
E07000131,Harborough,East Midlands,2020-05-04,May Day (Early May Bank Holiday),Transit Stations,-47,-47,-56
E07000131,Harborough,East Midlands,2020-05-04,May Day (Early May Bank Holiday),Residential,24,23,23
E07000131,Harborough,East Midlands,2020-05-04,May Day (Early May Bank Holiday),Workplaces,-62,-60,-62
E07000131,Harborough,East Midlands,2020-05-25,Spring Bank Holiday,Retail and Recreation,-64,-62,-62
E07000131,Harborough,East Midlands,2020-05-25,Spring Bank Holiday,Grocery and Pharmacy,-16,-18,-22
E07000131,Harborough,East Midlands,2020-05-25,Spring Bank Holiday,Parks,,119,141
E07000131,Harborough,East Midlands,2020-05-25,Spring Bank Holiday,Transit Stations,-38,-38,-50
E07000131,Harborough,East Midlands,2020-05-25,Spring Bank Holiday,Residential,26,24,25
E07000131,Harborough,East Midlands,2020-05-25,Spring Bank Holiday,Workplaces,-79,-78,-78
E07000131,Harborough,East Midlands,2020-08-31,Summer Bank Holiday,Retail and Recreation,,-11,-2
E07000131,Harborough,East Midlands,2020-08-31,Summer Bank Holiday,Grocery and Pharmacy,,-21,-20
E07000131,Harborough,East Midlands,2020-08-31,Summer Bank Holiday,Parks,,,28
E07000131,Harborough,East Midlands,2020-08-31,Summer Bank Holiday,Transit Stations,,-47,-51
E07000131,Harborough,East Midlands,2020-08-31,Summer Bank Holiday,Residential,17,15,14
E07000131,Harborough,East Midlands,2020-08-31,Summer Bank Holiday,Workplaces,-76,-71,-70
