LocationName,Date,SiteName,LocationGroup,WeekDay,BRCYear,BRCQuarter,BRCMonth,BRCWeek,InCount,OutCount,TotalCount,BusinessInCount,BusinessOutCount,BusinessTotalCount,FactoredInCount,FactoredOutCount,FactoredTotalCount,X,Y,OBJECTID
Church Street,21/03/2014,York,,Friday,2014,,March,12,1594,1606,3200,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,22/03/2014,York,,Saturday,2014,,March,12,1443,2045,3488,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,23/03/2014,York,,Sunday,2014,,March,12,649,1339,1988,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,24/03/2014,York,,Monday,2014,,March,13,1591,2018,3609,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,25/03/2014,York,,Tuesday,2014,,March,13,1545,1933,3478,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,26/03/2014,York,,Wednesday,2014,,March,13,2192,2698,4890,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,27/03/2014,York,,Thursday,2014,,March,13,1762,2315,4077,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,28/03/2014,York,,Friday,2014,,March,13,2022,2458,4480,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,29/03/2014,York,,Saturday,2014,,March,13,2439,3192,5631,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,30/03/2014,York,,Sunday,2014,,March,13,1363,1888,3251,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,01/04/2014,York,,Tuesday,2014,,March,14,,,,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,02/04/2014,York,,Wednesday,2014,,March,14,1073,1750,2823,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,03/04/2014,York,,Thursday,2014,,March,14,1316,2179,3495,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,04/04/2014,York,,Friday,2014,,March,14,1988,2231,4219,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,05/04/2014,York,,Saturday,2014,,March,14,2459,2640,5099,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,06/04/2014,York,,Sunday,2014,,March,14,1410,1570,2980,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,31/03/2014,York,,Monday,2014,,March,14,2005,2431,4436,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,07/04/2014,York,,Monday,2014,,April,15,1914,2015,3929,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,08/04/2014,York,,Tuesday,2014,,April,15,2413,2576,4989,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,09/04/2014,York,,Wednesday,2014,,April,15,1936,2386,4322,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,10/04/2014,York,,Thursday,2014,,April,15,2224,2535,4759,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,11/04/2014,York,,Friday,2014,,April,15,2434,2572,5006,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,12/04/2014,York,,Saturday,2014,,April,15,2521,2793,5314,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,13/04/2014,York,,Sunday,2014,,April,15,1812,2106,3918,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,14/04/2014,York,,Monday,2014,,April,16,2271,2441,4712,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,15/04/2014,York,,Tuesday,2014,,April,16,2598,2659,5257,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,16/04/2014,York,,Wednesday,2014,,April,16,2375,2815,5190,,,,,,,-1.08046297592486,53.9604292999891,3
Church Street,17/04/2014,York,,Thursday,2014,,April,16,2299,3026,5325,,,,,,,-1.08046297592486,53.9604292999891,3
