lad19cd,lad19nm,sub_region_1,event,ff_type,ff_median,ff_median_subrgn1,ff_median_uk
E07000131,Harborough,East Midlands,Before First National Lockdown,Retail and Recreation,1,1,0
E07000131,Harborough,East Midlands,Before First National Lockdown,Grocery and Pharmacy,8,4,4
E07000131,Harborough,East Midlands,Before First National Lockdown,Parks,-15,1,3
E07000131,Harborough,East Midlands,Before First National Lockdown,Transit Stations,-3,-3,-3
E07000131,Harborough,East Midlands,Before First National Lockdown,Residential,1,1,1
E07000131,Harborough,East Midlands,Before First National Lockdown,Workplaces,-3,-1,-2
E07000131,Harborough,East Midlands,Eat out to help out,Retail and Recreation,-12,-17,-17
E07000131,Harborough,East Midlands,Eat out to help out,Grocery and Pharmacy,-8,-12,-13
E07000131,Harborough,East Midlands,Eat out to help out,Parks,54,56,69
E07000131,Harborough,East Midlands,Eat out to help out,Transit Stations,-27,-25,-33
E07000131,Harborough,East Midlands,Eat out to help out,Residential,12,10,10
E07000131,Harborough,East Midlands,Eat out to help out,Workplaces,-46,-42,-43
E07000131,Harborough,East Midlands,First National Lockdown,Retail and Recreation,-72,-73,-74
E07000131,Harborough,East Midlands,First National Lockdown,Grocery and Pharmacy,-25,-27,-30
E07000131,Harborough,East Midlands,First National Lockdown,Parks,-31,-14,-14
E07000131,Harborough,East Midlands,First National Lockdown,Transit Stations,-51,-54,-62
E07000131,Harborough,East Midlands,First National Lockdown,Residential,27,24,25
E07000131,Harborough,East Midlands,First National Lockdown,Workplaces,-64,-60,-63
E07000131,Harborough,East Midlands,First three tier system,Retail and Recreation,-13,-18,-20
E07000131,Harborough,East Midlands,First three tier system,Grocery and Pharmacy,-7,-6,-7
E07000131,Harborough,East Midlands,First three tier system,Parks,2,13,18
E07000131,Harborough,East Midlands,First three tier system,Transit Stations,-36,-30,-35
E07000131,Harborough,East Midlands,First three tier system,Residential,10,9,10
E07000131,Harborough,East Midlands,First three tier system,Workplaces,-30,-28,-30
E07000131,Harborough,East Midlands,Hospitality had to shut between 10pm and 6am,Retail and Recreation,-16,-19,-20
E07000131,Harborough,East Midlands,Hospitality had to shut between 10pm and 6am,Grocery and Pharmacy,-11,-7,-8
E07000131,Harborough,East Midlands,Hospitality had to shut between 10pm and 6am,Parks,10,17,21
E07000131,Harborough,East Midlands,Hospitality had to shut between 10pm and 6am,Transit Stations,-28,-24,-31
E07000131,Harborough,East Midlands,Hospitality had to shut between 10pm and 6am,Residential,10,8,8
E07000131,Harborough,East Midlands,Hospitality had to shut between 10pm and 6am,Workplaces,-29,-24,-26
E07000131,Harborough,East Midlands,Hospitality reopen. Gatherings up to thirty people,Retail and Recreation,-25,-29,-27
E07000131,Harborough,East Midlands,Hospitality reopen. Gatherings up to thirty people,Grocery and Pharmacy,-9,-10,-11
E07000131,Harborough,East Midlands,Hospitality reopen. Gatherings up to thirty people,Parks,62,53,68
