sub_region_1,date,dayoftheweek,ukhol,ff_type,ff_min,ff_mean,ff_median,ff_max,ff_mad,ff_var
East Midlands,2020-02-15,Saturday,,Retail and Recreation,-33,-11,-12,6,4,38
East Midlands,2020-02-15,Saturday,,Grocery and Pharmacy,-10,-5,-5,-1,2,5
East Midlands,2020-02-15,Saturday,,Parks,-70,-36,-39,8,7,194
East Midlands,2020-02-15,Saturday,,Transit Stations,-34,-12,-13,12,7,91
East Midlands,2020-02-15,Saturday,,Workplaces,-9,-4,-4,1,3,6
East Midlands,2020-02-15,Saturday,,Residential,1,2,2,3,0,0
East Midlands,2020-02-16,Sunday,,Retail and Recreation,-34,-9,-8,9,6,51
East Midlands,2020-02-16,Sunday,,Grocery and Pharmacy,-12,-5,-5,3,3,10
East Midlands,2020-02-16,Sunday,,Parks,-59,-35,-41,45,15,345
East Midlands,2020-02-16,Sunday,,Transit Stations,-28,-9,-11,17,9,122
East Midlands,2020-02-16,Sunday,,Workplaces,-8,-3,-2,2,3,6
East Midlands,2020-02-16,Sunday,,Residential,1,1,1,2,0,0
East Midlands,2020-02-17,Monday,,Retail and Recreation,-5,10,8,33,5,49
East Midlands,2020-02-17,Monday,,Grocery and Pharmacy,-4,1,1,12,3,9
East Midlands,2020-02-17,Monday,,Parks,-9,25,18,182,13,1262
East Midlands,2020-02-17,Monday,,Transit Stations,-11,1,0,14,9,51
East Midlands,2020-02-17,Monday,,Workplaces,-20,-16,-15,-10,3,6
East Midlands,2020-02-17,Monday,,Residential,2,2,2,3,0,0
East Midlands,2020-02-18,Tuesday,,Retail and Recreation,-7,9,9,32,6,51
East Midlands,2020-02-18,Tuesday,,Grocery and Pharmacy,-6,0,-2,16,2,16
East Midlands,2020-02-18,Tuesday,,Parks,-25,21,14,212,13,1911
East Midlands,2020-02-18,Tuesday,,Transit Stations,-14,-2,-3,11,9,45
East Midlands,2020-02-18,Tuesday,,Workplaces,-21,-15,-15,-10,1,5
East Midlands,2020-02-18,Tuesday,,Residential,2,3,3,4,0,0
