phase,event,start_date,end_date
Phase one,First National Lockdown,2020-03-23,2020-05-13
Phase one,Outdoor recreation permitted,2020-05-13,2020-06-01
Phase one,Rule of six,2020-06-01,2020-07-04
Phase two,Hospitality reopen. Gatherings up to thirty people,2020-07-04,2020-09-14
Phase two,Eat out to help out,2020-08-03,2020-08-31
Phase three,The new rule of six both indoor and outdoor,2020-09-14,2020-09-25
Phase three,Hospitality had to shut between 10pm and 6am,2020-09-25,2020-10-14
Phase three,First three tier system,2020-10-14,2020-11-05
Phase four,Second National Lockdown. Meet one person outside,2020-11-05,2020-12-02
Phase five,Tier system was reintroduced,2020-12-02,2020-12-19
Phase five,Tier 4 introduced,2020-12-19,2020-12-30
Phase five,Tier 4 for 75% of the country,2020-12-30,2021-01-06
Phase six,Third National Lockdown,2021-01-06,2021-02-15
