date,lad19cd,id_join,country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,lad19nm,cty19cd,cty19nm,rgn19cd,rgn19nm,ff_type,ff_value,ukhol,dayoftheweek,event,phase
2020-02-15,E07000131,leicestershireharboroughdistrict,GB,United Kingdom,East Midlands,Leicestershire,,"",,ChIJ7VRfc2hld0gRYOTCu6gcDgQ,Harborough,E10000018,Leicestershire,E12000004,East Midlands,Retail and Recreation,-14,,Saturday,Before First National Lockdown,Phase zero
2020-02-15,E07000131,leicestershireharboroughdistrict,GB,United Kingdom,East Midlands,Leicestershire,,"",,ChIJ7VRfc2hld0gRYOTCu6gcDgQ,Harborough,E10000018,Leicestershire,E12000004,East Midlands,Grocery and Pharmacy,-6,,Saturday,Before First National Lockdown,Phase zero
2020-02-15,E07000131,leicestershireharboroughdistrict,GB,United Kingdom,East Midlands,Leicestershire,,"",,ChIJ7VRfc2hld0gRYOTCu6gcDgQ,Harborough,E10000018,Leicestershire,E12000004,East Midlands,Parks,-43,,Saturday,Before First National Lockdown,Phase zero
2020-02-15,E07000131,leicestershireharboroughdistrict,GB,United Kingdom,East Midlands,Leicestershire,,"",,ChIJ7VRfc2hld0gRYOTCu6gcDgQ,Harborough,E10000018,Leicestershire,E12000004,East Midlands,Transit Stations,-27,,Saturday,Before First National Lockdown,Phase zero
2020-02-15,E07000131,leicestershireharboroughdistrict,GB,United Kingdom,East Midlands,Leicestershire,,"",,ChIJ7VRfc2hld0gRYOTCu6gcDgQ,Harborough,E10000018,Leicestershire,E12000004,East Midlands,Workplaces,-9,,Saturday,Before First National Lockdown,Phase zero
2020-02-15,E07000131,leicestershireharboroughdistrict,GB,United Kingdom,East Midlands,Leicestershire,,"",,ChIJ7VRfc2hld0gRYOTCu6gcDgQ,Harborough,E10000018,Leicestershire,E12000004,East Midlands,Residential,,,Saturday,Before First National Lockdown,Phase zero
2020-02-16,E07000131,leicestershireharboroughdistrict,GB,United Kingdom,East Midlands,Leicestershire,,"",,ChIJ7VRfc2hld0gRYOTCu6gcDgQ,Harborough,E10000018,Leicestershire,E12000004,East Midlands,Retail and Recreation,-10,,Sunday,Before First National Lockdown,Phase zero
2020-02-16,E07000131,leicestershireharboroughdistrict,GB,United Kingdom,East Midlands,Leicestershire,,"",,ChIJ7VRfc2hld0gRYOTCu6gcDgQ,Harborough,E10000018,Leicestershire,E12000004,East Midlands,Grocery and Pharmacy,-8,,Sunday,Before First National Lockdown,Phase zero
2020-02-16,E07000131,leicestershireharboroughdistrict,GB,United Kingdom,East Midlands,Leicestershire,,"",,ChIJ7VRfc2hld0gRYOTCu6gcDgQ,Harborough,E10000018,Leicestershire,E12000004,East Midlands,Parks,-42,,Sunday,Before First National Lockdown,Phase zero
2020-02-16,E07000131,leicestershireharboroughdistrict,GB,United Kingdom,East Midlands,Leicestershire,,"",,ChIJ7VRfc2hld0gRYOTCu6gcDgQ,Harborough,E10000018,Leicestershire,E12000004,East Midlands,Transit Stations,-15,,Sunday,Before First National Lockdown,Phase zero
2020-02-16,E07000131,leicestershireharboroughdistrict,GB,United Kingdom,East Midlands,Leicestershire,,"",,ChIJ7VRfc2hld0gRYOTCu6gcDgQ,Harborough,E10000018,Leicestershire,E12000004,East Midlands,Workplaces,-5,,Sunday,Before First National Lockdown,Phase zero
2020-02-16,E07000131,leicestershireharboroughdistrict,GB,United Kingdom,East Midlands,Leicestershire,,"",,ChIJ7VRfc2hld0gRYOTCu6gcDgQ,Harborough,E10000018,Leicestershire,E12000004,East Midlands,Residential,,,Sunday,Before First National Lockdown,Phase zero
2020-02-17,E07000131,leicestershireharboroughdistrict,GB,United Kingdom,East Midlands,Leicestershire,,"",,ChIJ7VRfc2hld0gRYOTCu6gcDgQ,Harborough,E10000018,Leicestershire,E12000004,East Midlands,Retail and Recreation,12,,Monday,Before First National Lockdown,Phase zero
2020-02-17,E07000131,leicestershireharboroughdistrict,GB,United Kingdom,East Midlands,Leicestershire,,"",,ChIJ7VRfc2hld0gRYOTCu6gcDgQ,Harborough,E10000018,Leicestershire,E12000004,East Midlands,Grocery and Pharmacy,2,,Monday,Before First National Lockdown,Phase zero
2020-02-17,E07000131,leicestershireharboroughdistrict,GB,United Kingdom,East Midlands,Leicestershire,,"",,ChIJ7VRfc2hld0gRYOTCu6gcDgQ,Harborough,E10000018,Leicestershire,E12000004,East Midlands,Parks,,,Monday,Before First National Lockdown,Phase zero
