sub_region_1,phase,event,ff_type,start_date,end_date,ff_min,ff_mean,ff_median,ff_max,ff_mad,ff_var
East Midlands,Phase zero,Before First National Lockdown,Retail and Recreation,2020-02-15,2020-03-22,-69,-3,1,76,7,222
East Midlands,Phase zero,Before First National Lockdown,Grocery and Pharmacy,2020-02-15,2020-03-22,-19,6,4,42,6,96
East Midlands,Phase zero,Before First National Lockdown,Parks,2020-02-15,2020-03-22,-70,5,1,277,18,1334
East Midlands,Phase zero,Before First National Lockdown,Transit Stations,2020-02-15,2020-03-22,-56,-4,-3,72,9,166
East Midlands,Phase zero,Before First National Lockdown,Workplaces,2020-02-15,2020-03-22,-37,-5,-1,15,4,78
East Midlands,Phase zero,Before First National Lockdown,Residential,2020-02-15,2020-03-22,-1,2,1,14,1,9
East Midlands,Phase one,First National Lockdown,Retail and Recreation,2020-03-23,2020-05-12,-100,-73,-73,-25,9,84
East Midlands,Phase one,First National Lockdown,Grocery and Pharmacy,2020-03-23,2020-05-12,-76,-28,-27,7,7,112
East Midlands,Phase one,First National Lockdown,Parks,2020-03-23,2020-05-12,-88,-12,-14,207,28,1192
East Midlands,Phase one,First National Lockdown,Transit Stations,2020-03-23,2020-05-12,-84,-53,-54,14,15,220
East Midlands,Phase one,First National Lockdown,Workplaces,2020-03-23,2020-05-12,-88,-59,-60,-25,9,100
East Midlands,Phase one,First National Lockdown,Residential,2020-03-23,2020-05-12,9,24,24,33,4,19
East Midlands,Phase one,Outdoor recreation permitted,Retail and Recreation,2020-05-13,2020-05-31,-89,-64,-63,-44,9,73
East Midlands,Phase one,Outdoor recreation permitted,Grocery and Pharmacy,2020-05-13,2020-05-31,-36,-14,-14,7,7,67
East Midlands,Phase one,Outdoor recreation permitted,Parks,2020-05-13,2020-05-31,-52,47,43,387,39,2368
East Midlands,Phase one,Outdoor recreation permitted,Transit Stations,2020-05-13,2020-05-31,-73,-32,-33,70,21,454
East Midlands,Phase one,Outdoor recreation permitted,Workplaces,2020-05-13,2020-05-31,-83,-48,-52,-15,10,178
East Midlands,Phase one,Outdoor recreation permitted,Residential,2020-05-13,2020-05-31,5,19,20,28,3,22
East Midlands,Phase one,Rule of six,Retail and Recreation,2020-06-01,2020-07-03,-85,-53,-53,-23,10,108
East Midlands,Phase one,Rule of six,Grocery and Pharmacy,2020-06-01,2020-07-03,-33,-10,-10,19,7,60
East Midlands,Phase one,Rule of six,Parks,2020-06-01,2020-07-03,-61,32,26,353,37,2079
East Midlands,Phase one,Rule of six,Transit Stations,2020-06-01,2020-07-03,-73,-28,-29,91,16,406
East Midlands,Phase one,Rule of six,Workplaces,2020-06-01,2020-07-03,-62,-39,-43,5,9,171
East Midlands,Phase one,Rule of six,Residential,2020-06-01,2020-07-03,4,16,16,26,4,18
East Midlands,Phase two,Hospitality reopen. Gatherings up to thirty people,Retail and Recreation,2020-07-04,2020-09-13,-78,-28,-29,140,15,429
East Midlands,Phase two,Hospitality reopen. Gatherings up to thirty people,Grocery and Pharmacy,2020-07-04,2020-09-13,-36,-8,-10,103,7,171
East Midlands,Phase two,Hospitality reopen. Gatherings up to thirty people,Parks,2020-07-04,2020-09-13,-34,68,53,618,37,6765
East Midlands,Phase two,Hospitality reopen. Gatherings up to thirty people,Transit Stations,2020-07-04,2020-09-13,-68,-18,-21,128,18,577
