country_region_code,date,dayoftheweek,ukhol,ff_type,ff_min,ff_mean,ff_median,ff_max,ff_mad,ff_var
GB,2020-02-15,Saturday,,Retail and Recreation,-33,-11,-11,10,4,28
GB,2020-02-15,Saturday,,Grocery and Pharmacy,-20,-6,-6,24,3,15
GB,2020-02-15,Saturday,,Parks,-70,-37,-37,37,12,158
GB,2020-02-15,Saturday,,Transit Stations,-34,-12,-13,32,7,82
GB,2020-02-15,Saturday,,Workplaces,-12,-4,-4,2,3,6
GB,2020-02-15,Saturday,,Residential,1,2,2,5,0,0
GB,2020-02-16,Sunday,,Retail and Recreation,-34,-8,-8,30,9,79
GB,2020-02-16,Sunday,,Grocery and Pharmacy,-21,-6,-6,36,4,27
GB,2020-02-16,Sunday,,Parks,-72,-31,-35,77,19,454
GB,2020-02-16,Sunday,,Transit Stations,-40,-8,-8,29,10,115
GB,2020-02-16,Sunday,,Workplaces,-16,-3,-3,5,3,10
GB,2020-02-16,Sunday,,Residential,-1,1,1,3,0,1
GB,2020-02-17,Monday,,Retail and Recreation,-6,10,9,37,6,46
GB,2020-02-17,Monday,,Grocery and Pharmacy,-9,2,2,39,3,19
GB,2020-02-17,Monday,,Parks,-31,24,20,182,18,552
GB,2020-02-17,Monday,,Transit Stations,-22,0,-2,39,7,71
GB,2020-02-17,Monday,,Workplaces,-29,-15,-16,4,3,23
GB,2020-02-17,Monday,,Residential,0,2,2,7,0,1
GB,2020-02-18,Tuesday,,Retail and Recreation,-10,9,9,32,6,45
GB,2020-02-18,Tuesday,,Grocery and Pharmacy,-9,0,-1,36,3,21
GB,2020-02-18,Tuesday,,Parks,-34,19,14,212,16,659
GB,2020-02-18,Tuesday,,Transit Stations,-21,-2,-3,29,7,57
GB,2020-02-18,Tuesday,,Workplaces,-24,-14,-15,5,3,23
GB,2020-02-18,Tuesday,,Residential,0,2,3,6,0,1
GB,2020-02-19,Wednesday,,Retail and Recreation,-9,6,5,42,6,44
GB,2020-02-19,Wednesday,,Grocery and Pharmacy,-15,-1,-2,34,3,19
GB,2020-02-19,Wednesday,,Parks,-55,5,1,170,18,609
GB,2020-02-19,Wednesday,,Transit Stations,-22,-4,-5,23,7,63
GB,2020-02-19,Wednesday,,Workplaces,-22,-14,-15,4,3,24
GB,2020-02-19,Wednesday,,Residential,0,3,3,4,0,1
GB,2020-02-20,Thursday,,Retail and Recreation,-8,6,5,38,4,39
GB,2020-02-20,Thursday,,Grocery and Pharmacy,-11,-1,-1,36,3,18
GB,2020-02-20,Thursday,,Parks,-45,1,-3,131,16,498
GB,2020-02-20,Thursday,,Transit Stations,-23,-5,-5,22,7,60
GB,2020-02-20,Thursday,,Workplaces,-23,-15,-16,2,3,29
GB,2020-02-20,Thursday,,Residential,0,3,3,4,0,1
GB,2020-02-21,Friday,,Retail and Recreation,-15,4,4,22,6,36
GB,2020-02-21,Friday,,Grocery and Pharmacy,-12,0,0,33,3,16
GB,2020-02-21,Friday,,Parks,-49,10,8,155,18,556
GB,2020-02-21,Friday,,Transit Stations,-37,-2,-2,32,7,76
GB,2020-02-21,Friday,,Workplaces,-25,-15,-16,2,3,25
GB,2020-02-21,Friday,,Residential,0,3,3,5,0,1
GB,2020-02-22,Saturday,,Retail and Recreation,-30,-3,-3,58,4,36
GB,2020-02-22,Saturday,,Grocery and Pharmacy,-17,-1,-1,26,3,13
GB,2020-02-22,Saturday,,Parks,-62,-7,-7,68,12,226
GB,2020-02-22,Saturday,,Transit Stations,-25,0,-1,35,7,92
GB,2020-02-22,Saturday,,Workplaces,-8,-2,-2,8,1,4
GB,2020-02-22,Saturday,,Residential,-1,0,0,3,0,0
GB,2020-02-23,Sunday,,Retail and Recreation,-32,-2,-2,90,4,63
GB,2020-02-23,Sunday,,Grocery and Pharmacy,-14,-1,-1,31,3,12
GB,2020-02-23,Sunday,,Parks,-59,-7,-8,103,10,228
GB,2020-02-23,Sunday,,Transit Stations,-26,4,2,87,9,177
GB,2020-02-23,Sunday,,Workplaces,-8,-1,-1,7,3,6
GB,2020-02-23,Sunday,,Residential,-1,0,0,1,0,0
GB,2020-02-24,Monday,,Retail and Recreation,-19,-4,-4,23,3,18
GB,2020-02-24,Monday,,Grocery and Pharmacy,-16,0,0,32,3,14
GB,2020-02-24,Monday,,Parks,-54,-10,-11,92,7,151
GB,2020-02-24,Monday,,Transit Stations,-25,-2,-3,23,4,30
GB,2020-02-24,Monday,,Workplaces,-32,-2,-1,4,1,11
GB,2020-02-24,Monday,,Residential,0,1,1,11,0,1
GB,2020-02-25,Tuesday,,Retail and Recreation,-20,0,0,27,3,19
GB,2020-02-25,Tuesday,,Grocery and Pharmacy,-5,6,6,38,3,13
GB,2020-02-25,Tuesday,,Parks,-42,3,1,141,7,195
GB,2020-02-25,Tuesday,,Transit Stations,-19,0,0,25,4,27
GB,2020-02-25,Tuesday,,Workplaces,-15,1,1,7,1,3
GB,2020-02-25,Tuesday,,Residential,-1,0,0,3,0,0
GB,2020-02-26,Wednesday,,Retail and Recreation,-14,1,0,33,3,15
GB,2020-02-26,Wednesday,,Grocery and Pharmacy,-11,0,0,25,3,10
GB,2020-02-26,Wednesday,,Parks,-47,4,3,132,9,217
GB,2020-02-26,Wednesday,,Transit Stations,-19,-1,-1,24,4,27
GB,2020-02-26,Wednesday,,Workplaces,-15,1,1,6,1,3
GB,2020-02-26,Wednesday,,Residential,0,0,0,3,0,0
GB,2020-02-27,Thursday,,Retail and Recreation,-11,2,2,37,3,22
GB,2020-02-27,Thursday,,Grocery and Pharmacy,-9,2,2,19,3,9
GB,2020-02-27,Thursday,,Parks,-41,4,3,146,10,258
GB,2020-02-27,Thursday,,Transit Stations,-24,0,0,17,4,29
GB,2020-02-27,Thursday,,Workplaces,-16,0,0,6,1,3
GB,2020-02-27,Thursday,,Residential,-1,1,1,3,1,0
GB,2020-02-28,Friday,,Retail and Recreation,-24,-1,0,17,4,20
GB,2020-02-28,Friday,,Grocery and Pharmacy,-18,2,2,23,3,13
GB,2020-02-28,Friday,,Parks,-63,-14,-14,113,10,206
GB,2020-02-28,Friday,,Transit Stations,-27,0,0,20,6,35
GB,2020-02-28,Friday,,Workplaces,-16,-1,-1,4,1,3
GB,2020-02-28,Friday,,Residential,-1,1,1,3,0,0
GB,2020-02-29,Saturday,,Retail and Recreation,-26,2,2,58,4,37
GB,2020-02-29,Saturday,,Grocery and Pharmacy,-17,3,3,26,3,16
GB,2020-02-29,Saturday,,Parks,-55,-16,-17,64,12,178
GB,2020-02-29,Saturday,,Transit Stations,-40,-2,-2,39,7,79
GB,2020-02-29,Saturday,,Workplaces,-8,1,1,9,1,6
